date,E0,Eend,min_energy,G,H,peak_emergency_kw,plan_cost,emergency_cost,cash_cost,emergency_days,emergency_slots,unused,curtailment,pv,storage_loss,max_residual,model,alpha,plan_feasible,objective,constraint_violation,risk_budget,risk_cvar,stress_budget,design_stress_cost,forecast_train_end,scene_end,effective_scenarios,var_exceeded,development_stress_worst_cost,locked_plan_sha256,array_sha256,predicted_beta,predicted_mean_emergency_cost,predicted_emergency_var,predicted_emergency_cvar,predicted_robust_emergency_cvar,predicted_cash_var,predicted_cash_cvar,predicted_emergency_probability,predicted_mean_end_energy,predicted_low_end_energy,predicted_minimum_energy,predicted_worst_emergency_kwh,predicted_effective_n,optimizer_evaluations
2025-02-01,10800.0,6442.995970142041,1648.7859082262546,37452.7827226124,0.0,0.0,19957.03281502593,0.0,19957.03281502593,0,0,1628.5025902945745,2611.187480041155,41927.03035,3191.9207488013008,9.094947017729282e-13,M0,0.0,True,18116.003648359263,0.0,,,,,2025-01-31,,28.047968011126635,False,81598.124297565,e0783935b6fcdac274158d713e486b3139a25a2c793811b8249da109941a49b7,c34a6336cfd3359cba8eff6e331f99d5940b87de8fff0255b737fb25aa5e612f,0.9,10308.738832062958,10234.38277667438,79961.93688426704,198573.65116935803,30191.415591700308,99918.96969929297,0.6955645585427415,6025.049907390974,5517.7024979464295,1200.0,48939.34543922326,28.047968011126635,3000
2025-02-02,6442.995970142041,3112.189579285404,1339.592795131015,85005.77237108843,0.0,0.0,54291.20492512412,0.0,54291.20492512412,0,0,5677.826712822635,59.17406666666659,43349.69469999999,4243.300032455769,8.597567102697212e-13,M0,0.0,True,53777.59784075082,0.0,,,,,2025-02-01,,28.804209643720352,False,104368.49831899146,fdb55316ad1cc462668bb7f21a2608ef645d2c4d2031b3bb19b42debfe33a89c,bc56412e52d4da824eb43a0d661d998a5f0a011661c8b563f180009b021a6738,0.9,11986.625804378153,13143.82568662696,90046.51051056628,216343.79668398725,67435.03061175108,144337.7154356904,0.7115907705248243,2870.7967665264123,2294.205756091118,1200.0,49541.67206084439,28.804209643720352,3000
2025-02-03,3112.189579285404,3219.8229062144173,1349.4764204144624,87706.86485773494,57.90781805555548,117.03773809523796,55149.94505188253,319.07556638378617,55469.02061826632,1,7,3029.5941099587785,0.0,42386.85249999999,4410.628738902711,9.094947017729282e-13,M0,1.0,True,54566.307006661766,0.0,,,,,2025-02-02,,29.91039312965003,False,100849.42902929544,7bd66104cf49cb9eb9e51a08a13a6736d2696533a934ce494e7853f49915a81a,1a6eac3716b82983dd0c3a29eba96fc9812ea92d5973fc61d721d92a65cd01b6,0.9,9643.97840930545,9748.034479986623,64263.23872063058,181180.32304834807,64897.979531869154,119413.18377251312,0.9388914070341342,3138.3063263428194,2617.4307330850065,1200.0000000000002,50352.57095212959,29.91039312965003,3000
2025-02-04,3219.8229062144173,3303.1437535440346,1480.3863460884354,87572.26948386698,226.84975448257723,294.0270238095228,55005.239638156374,1146.9000867232924,56152.139724879664,1,11,1858.7764204352952,0.0,40383.2349,4662.1580205846485,9.094947017729282e-13,M0,1.0,True,54377.19686594816,0.0,,,,,2025-02-03,,31.196761996969347,False,103546.97603243623,e5aee14d5ffc7adb473844033f1d5b83ff09c7eb57639c782d77734f046c3b66,f6623f5f13db6a40bda3a904f11b7afe9ac990408fa5684be0dbd4c398f085ea,0.9,9525.367040523717,9748.03447998663,64223.64493514774,181023.424182693,64753.274118143,119228.88457330412,0.9388565968038564,3260.5529708636286,2725.0640600140196,1200.0000000000005,50384.37989403473,31.196761996969347,3000
2025-02-05,3303.1437535440346,3389.7977812648082,1382.7792254809146,87159.69890558391,6.193916524943347,37.16349914966008,54869.92753102527,35.97736413513343,54905.904895160405,1,1,1767.6745457101558,0.0,41242.65745,4563.13726534458,9.094947017729282e-13,M0,0.0,True,54207.51028025761,0.0,,,,,2025-02-04,,32.78060316821474,False,118424.59011718907,800c1f7c2f7bbe4ee93daccb4fe6106e33eaa698ad8538498419a09a809c6e27,fee2e626e4ec41e0080167e8ad7fd9b1a1b5077d52f609c7cd4b9f38e88de54b,0.9,10288.606566936847,12813.125985634717,74841.25633733065,201111.0836372301,67683.05351665999,129711.18386835592,0.7320694619735767,3252.1454815761053,2650.9989694269693,1200.0,49199.095858561705,32.78060316821474,3000
2025-02-06,3389.7977812648082,3359.139482011847,1429.2661954207626,87757.96262709645,35.073752664399535,108.22435374149836,55312.61606115736,204.28809224351164,55516.90415340087,1,2,3102.427504936875,0.0,41981.10548333333,4450.209957410277,8.739675649849232e-13,M0,0.0,True,54614.44920984222,0.0,,,,,2025-02-05,,33.86212468912227,False,114264.93084779587,0033fe9de630ddebc425c19f7d80612d732659d576d02f5516196f7c3c6d5ce2,a523136f0fb59d2889a63e38588b57eb45c6ad4adde62b71748fedcd9e29eaed,0.9,10281.314019087627,12623.43546246241,74787.0299335038,201140.00255036462,67936.05152361977,130099.64599466116,0.6915099064079622,3346.1996191627395,2737.652997147743,1200.0,49045.296402491585,33.86212468912227,3000
2025-02-07,3359.139482011847,3011.4304118578398,1206.1955943562612,40880.92548708324,0.0,0.0,21072.228163322958,0.0,21072.228163322958,0,0,1877.955463733882,3770.1604434156407,44362.91726666666,3774.8389834210616,9.094947017729282e-13,M0,0.0,True,20428.194316774934,0.0,,,,,2025-02-06,,34.638808005107244,False,81873.17051546853,65f687885e16712a6023f4f561b01e210f380c9504af384b36496f6525e64ab5,3faccbb14672976ea544da81a79e030611f5dbceee9097bb5019b2ab8071bf82,0.9,8309.11386187952,10239.291244153437,67411.37293956279,186166.90953017364,31311.519407476393,88483.60110288575,0.5321044007150499,3328.0169202417796,2606.439142339226,1200.0,49159.52572052749,34.638808005107244,3000
2025-02-08,3011.4304118578398,2868.983216965861,1200.866732363314,39118.7492826772,27.497893225621226,92.7859523809525,20276.621996619917,142.70079903381279,20419.32279565373,1,4,643.2956215986394,3434.259476041402,44169.6248,3633.9765564880954,9.094947017729282e-13,M0,1.0,True,19776.03745878099,0.0,,,,,2025-02-07,,34.37643360843018,False,80455.16419173096,d566dfcdb104463ac8f9986e97a4228b0d297346c0efc59da93be4f932976a8a,17d517f48c26e936b77aae4b662f2625d2a4735b58910ff10a79dee88f9ba5ad,0.9,8562.393374759997,7850.825916986737,68245.60913173914,183135.33586270775,28127.447913606655,88522.23112835905,0.904516712213943,3052.7485931622646,2428.781945587996,1199.9999999999977,50297.689557174686,34.37643360843018,3000
2025-02-09,2868.983216965861,2659.504669851662,1290.0175473478835,85116.00827118185,0.0,0.0,53380.63422961604,0.0,53380.63422961604,0,0,1158.3217138500434,0.0,41992.48759999999,4611.749137779352,8.29558643999917e-13,M0,0.0,True,52897.33232021667,0.0,,,,,2025-02-08,,35.152832400658255,False,122993.79585195913,d57b17286ed1d12e93bad8728d4dda8b5a9fed42726bc7e442f1bb09637e5032,50d313bc0fa33273b52f388f2644be6d2f595d8382f9e3689162b3954a06a979,0.9,10117.895943271407,9740.593724641129,79328.06786354158,206355.3930237528,63121.22795425716,132708.70209315763,0.7481836865888982,2806.961295568099,2275.2775873759138,1200.0,49509.27863942099,35.152832400658255,3000
2025-02-10,2659.504669851662,2745.454165178255,1249.3364055161885,86124.408829181,0.0,0.0,53909.91068610566,0.0,53909.91068610566,0,0,7212.065122624646,499.6630333333335,47150.92693333333,4000.093594563107,9.094947017729282e-13,M0,0.0,True,53317.066426199075,0.0,,,,,2025-02-09,,37.353081342028865,False,102931.9995107905,d4cf58d1ead9d683495c40adc4b114f8aca6db777b8ba27e5be812e2035af3f7,ce4b241caa6bf4fd8b4af88fd83c99926e515754d49c1cd5aa1308ccf092532c,0.9,9001.7879289001,9729.039825045327,67487.16913576932,194156.05592074737,63638.950511150986,121397.07982187497,0.7105911222810052,3052.720791464535,2519.8367856056298,1200.0,49263.912438761174,37.353081342028865,3000
