model,anchor,initial_energy,days,shock_days,recovery_days,cash_cost,emergency_cost,emergency_kwh,baseline_cash_cost,baseline_emergency_cost,additional_cash_cost,peak_emergency_kw,min_energy,end_energy,end_inventory_gap_vs_nominal,recovery_emergency_cost,risk_budget_unmet_days,max_physical_residual,first_day_plan_identical,used_for_selection,shock
M3,2025-03-20,6000,1,1,0,136292.89866559353,96372.31254916056,20830.852255260426,40612.85582317219,692.2697067392069,95680.04284242133,5395.088,1200.0,2045.4328703703718,-162.3386671516755,0,0,6.821210263296962e-13,True,False,test_load_20
M3,2025-03-20,6000,1,1,0,168157.22832924328,128236.6422128103,24592.338283736404,40612.85582317219,692.2697067392069,127544.37250607109,4488.779005803368,1206.9375,2207.7715375220473,0.0,0,0,7.958078640513122e-13,True,False,test_pv_50
M3,2025-03-20,6000,1,1,0,74788.87459285956,34868.28847642658,5554.718558145126,40612.85582317219,692.2697067392069,34176.01876968737,2002.4823452380922,1200.0,2200.8340375220473,-6.9375,0,0,9.094947017729282e-13,True,False,test_peak_30
M3,2025-03-20,6000,1,1,0,218178.11680448893,178257.53068805597,36153.72039885305,40612.85582317219,692.2697067392069,177565.26098131674,5273.9219650000005,1200.0,2045.4328703703718,-162.3386671516755,0,0,8.810729923425242e-13,True,False,test_joint_15_40
M3,2025-03-20,6000,5,3,2,469527.95991601306,266453.2412548814,53394.867118101094,152005.4366312141,2385.455830166984,317522.5232847989,5273.9219650000005,1200.0,5043.94669515546,2450.052302640652,0.0,0,9.094947017729282e-13,True,False,test_joint_15_40_3days
M3,2025-03-20,2160.0,5,3,2,370470.88502045034,195285.99607620543,39610.8053856285,153627.52830425973,2390.9031019259883,216843.3567161906,4937.164000000001,1199.9999999999986,4156.983418408445,1620.9146916803575,532.2022455428369,0,1.3642420526593924e-12,True,False,test_low_inventory_3days
M3,2025-06-21,6000,1,1,0,34616.401900815865,12572.988805793224,3090.493190800191,22043.413095022643,0.0,12572.988805793222,2065.2744000000002,1200.0,1269.2448526428573,-3682.27088065284,0,0,8.988365607365267e-13,True,False,test_load_20
M3,2025-06-21,6000,1,1,0,92181.39868356295,70137.98558854031,12668.141686172134,22043.413095022643,0.0,70137.98558854031,3881.8244999999997,1200.0,2230.1959355357167,-2721.3197977599802,0,0,4.547473508864641e-13,True,False,test_pv_50
M3,2025-06-21,6000,1,1,0,30962.668670497602,8919.255575474957,1606.2800441014751,22043.413095022643,0.0,8919.25557547496,3244.5546071938884,1200.0,2230.1959355357167,-2721.3197977599802,0,0,8.526512829121202e-13,True,False,test_peak_30
M3,2025-06-21,6000,1,1,0,116542.65775270396,94499.24465768132,17698.95518781467,22043.413095022643,0.0,94499.24465768132,4464.098175,1200.0,1402.4011765674625,-3549.1145567282347,0,0,4.547473508864641e-13,True,False,test_joint_15_40
M3,2025-06-21,6000,5,3,2,540605.2507071771,230818.62334982882,42811.36756671045,248878.59768533247,8288.51848523737,291726.65302184457,4464.098175,1200.0,9117.355210619375,332.60378807340567,0.0,0,9.094947017729282e-13,True,False,test_joint_15_40_3days
M3,2025-06-21,2160.0,5,3,2,412876.9103839484,126833.52588030379,22151.981480563547,250778.2453086385,8288.518485237375,162098.66507530992,4270.00695,1200.0,8670.157574539124,-517.4431301814257,0.0,0,9.094947017729282e-13,True,False,test_low_inventory_3days
